sob, 22 gru 2018, 15:26:03 CET
RX: 7416AAAAAAAAAA RSSI: -113 Time: 130853 
RX: 7418AAAAAAAAAA RSSI: -116 Time: 131860 
RX: 7419AAAAAAAAAA RSSI: -115 Time: 132364 
RX: 7420AAAAAAAAAA RSSI: -116 Time: 132867 
RX: 7421AAAAAAAAAA RSSI: -116 Time: 133370 
RX: 7423AAAAAAAAAA RSSI: -116 Time: 134378 
RX: 7424AAAAAAAAAA RSSI: -119 Time: 134881 
RX: 7425AAAAAAAAAA RSSI: -127 Time: 135384 
RX: 7426AAAAAAAAAA RSSI: -129 Time: 135888 
RX: 7428AAAAAAAAAA RSSI: -120 Time: 136895 
RX: 7429AAAAAAAAAA RSSI: -120 Time: 137398 
RX: 7430AAAAAAAAAA RSSI: -116 Time: 137901 
RX: 7431AAAAAAAAAA RSSI: -113 Time: 138405 
RX: 7432AAAAAAAAAA RSSI: -113 Time: 138909 
RX: 7433AAAAAAAAAA RSSI: -113 Time: 139412 
RX: 7434AAAAAAAAAA RSSI: -118 Time: 139915 
RX: 7435AAAAAAAAAA RSSI: -120 Time: 140419 
RX: 7436AAAAAAAAAA RSSI: -116 Time: 140922 
RX: 7437AAAAAAAAAA RSSI: -120 Time: 141426 
RX: 7438AAAAAAAAAA RSSI: -120 Time: 141929 
RX: 7439AAAAAAAAAA RSSI: -129 Time: 142432 
RX: 7440AAAAAAAAAA RSSI: -114 Time: 142936 
RX: 7441AAAAAAAAAA RSSI: -112 Time: 143439 
RX: 7442AAAAAAAAAA RSSI: -114 Time: 143942 
RX: 7443AAAAAAAAAA RSSI: -111 Time: 144445 
RX: 7444AAAAAAAAAA RSSI: -115 Time: 144949 
RX: 7445AAAAAAAAAA RSSI: -111 Time: 145452 
RX: 7446AAAAAAAAAA RSSI: -115 Time: 145954 
RX: 7447AAAAAAAAAA RSSI: -114 Time: 146460 
RX: 7448AAAAAAAAAA RSSI: -119 Time: 146964 
RX: 7449AAAAAAAAAA RSSI: -114 Time: 147468 
RX: 7450AAAAAAAAAA RSSI: -110 Time: 147971 
RX: 7451AAAAAAAAAA RSSI: -109 Time: 148473 
RX: 7452AAAAAAAAAA RSSI: -110 Time: 148977 
RX: 7453AAAAAAAAAA RSSI: -111 Time: 149480 
RX: 7455AAAAAAAAAA RSSI: -116 Time: 150487 
RX: 7456AAAAAAAAAA RSSI: -115 Time: 150990 
RX: 7457AAAAAAAAAA RSSI: -114 Time: 151493 
RX: 7458AAAAAAAAAA RSSI: -114 Time: 151996 
RX: 7459AAAAAAAAAA RSSI: -120 Time: 152500 
RX: 7460AAAAAAAAAA RSSI: -113 Time: 153002 
RX: 7461AAAAAAAAAA RSSI: -113 Time: 153506 
RX: 7462AAAAAAAAAA RSSI: -118 Time: 154009 
RX: 7463AAAAAAAAAA RSSI: -112 Time: 154513 
RX: 7464AAAAAAAAAA RSSI: -118 Time: 155016 
RX: 7465AAAAAAAAAA RSSI: -125 Time: 155520 
RX: 7466AAAAAAAAAA RSSI: -115 Time: 156024 
RX: 7467AAAAAAAAAA RSSI: -110 Time: 156527 
RX: 7468AAAAAAAAAA RSSI: -109 Time: 157031 
RX: 7469AAAAAAAAAA RSSI: -109 Time: 157533 
RX: 7470AAAAAAAAAA RSSI: -111 Time: 158037 
RX: 7471AAAAAAAAAA RSSI: -113 Time: 158540 
RX: 7472AAAAAAAAAA RSSI: -110 Time: 159047 
RX: 7473AAAAAAAAAA RSSI: -113 Time: 159550 
RX: 7474AAAAAAAAAA RSSI: -116 Time: 160053 
RX: 7475AAAAAAAAAA RSSI: -113 Time: 160556 
RX: 7476AAAAAAAAAA RSSI: -109 Time: 161059 
RX: 7477AAAAAAAAAA RSSI: -112 Time: 161562 
RX: 7478AAAAAAAAAA RSSI: -110 Time: 162065 
RX: 7479AAAAAAAAAA RSSI: -109 Time: 162568 
RX: 7480AAAAAAAAAA RSSI: -107 Time: 163073 
RX: 7481AAAAAAAAAA RSSI: -106 Time: 163577 
RX: 7482AAAAAAAAAA RSSI: -106 Time: 164080 
RX: 7483AAAAAAAAAA RSSI: -106 Time: 164587 
RX: 7484AAAAAAAAAA RSSI: -108 Time: 165090 
RX: 7485AAAAAAAAAA RSSI: -107 Time: 165594 
RX: 7486AAAAAAAAAA RSSI: -105 Time: 166097 
RX: 7487AAAAAAAAAA RSSI: -108 Time: 166600 
RX: 7489AAAAAAAAAA RSSI: -106 Time: 167606 
RX: 7490AAAAAAAAAA RSSI: -107 Time: 168109 
RX: 7491AAAAAAAAAA RSSI: -106 Time: 168612 
RX: 7492AAAAAAAAAA RSSI: -104 Time: 169115 
RX: 7493AAAAAAAAAA RSSI: -106 Time: 169618 
RX: 7494AAAAAAAAAA RSSI: -105 Time: 170121 
RX: 7495AAAAAAAAAA RSSI: -104 Time: 170624 
RX: 7496AAAAAAAAAA RSSI: -107 Time: 171127 
RX: 7497AAAAAAAAAA RSSI: -105 Time: 171630 
RX: 7498AAAAAAAAAA RSSI: -106 Time: 172133 
RX: 7499AAAAAAAAAA RSSI: -106 Time: 172636 
RX: 7500AAAAAAAAAA RSSI: -108 Time: 173139 
RX: 7501AAAAAAAAAA RSSI: -105 Time: 173642 
RX: 7502AAAAAAAAAA RSSI: -106 Time: 174145 
RX: 7503AAAAAAAAAA RSSI: -108 Time: 174648 
RX: 7504AAAAAAAAAA RSSI: -106 Time: 175151 
RX: 7505AAAAAAAAAA RSSI: -106 Time: 175655 
RX: 7506AAAAAAAAAA RSSI: -108 Time: 176157 
RX: 7507AAAAAAAAAA RSSI: -109 Time: 176660 
RX: 7508AAAAAAAAAA RSSI: -111 Time: 177163 
RX: 7509AAAAAAAAAA RSSI: -110 Time: 177666 
RX: 7510AAAAAAAAAA RSSI: -113 Time: 178169 
RX: 7511AAAAAAAAAA RSSI: -110 Time: 178672 
RX: 7512AAAAAAAAAA RSSI: -111 Time: 179175 
RX: 7513AAAAAAAAAA RSSI: -116 Time: 179679 
RX: 7514AAAAAAAAAA RSSI: -127 Time: 180182 
RX: 7515AAAAAAAAAA RSSI: -115 Time: 180685 
RX: 7516AAAAAAAAAA RSSI: -118 Time: 181188 
RX: 7517AAAAAAAAAA RSSI: -109 Time: 181691 
RX: 7518AAAAAAAAAA RSSI: -115 Time: 182194 
RX: 7519AAAAAAAAAA RSSI: -115 Time: 182697 
RX: 7520AAAAAAAAAA RSSI: -115 Time: 183200 
RX: 7521AAAAAAAAAA RSSI: -115 Time: 183703 
RX: 7522AAAAAAAAAA RSSI: -113 Time: 184206 
RX: 7523AAAAAAAAAA RSSI: -116 Time: 184709 
RX: 7524AAAAAAAAAA RSSI: -116 Time: 185213 
RX: 7525AAAAAAAAAA RSSI: -115 Time: 185717 
RX: 7526AAAAAAAAAA RSSI: -115 Time: 186220 
RX: 7527AAAAAAAAAA RSSI: -115 Time: 186723 
RX: 7528AAAAAAAAAA RSSI: -115 Time: 187226 
RX: 7529AAAAAAAAAA RSSI: -116 Time: 187729 
RX: 7530AAAAAAAAAA RSSI: -115 Time: 188233 
RX: 7531AAAAAAAAAA RSSI: -116 Time: 188736 
RX: 7532AAAAAAAAAA RSSI: -120 Time: 189239 
RX: 7533AAAAAAAAAA RSSI: -119 Time: 189743 
RX: 7536AAAAAAAAAA RSSI: -116 Time: 191253 
RX: 7537AAAAAAAAAA RSSI: -114 Time: 191756 
RX: 7538AAAAAAAAAA RSSI: -112 Time: 192260 
RX: 7539AAAAAAAAAA RSSI: -112 Time: 192763 
RX: 7540AAAAAAAAAA RSSI: -110 Time: 193266 
RX: 7541AAAAAAAAAA RSSI: -106 Time: 193770 
RX: 7542AAAAAAAAAA RSSI: -109 Time: 194274 
RX: 7543AAAAAAAAAA RSSI: -108 Time: 194778 
RX: 7544AAAAAAAAAA RSSI: -107 Time: 195281 
RX: 7545AAAAAAAAAA RSSI: -119 Time: 195784 
RX: 7546AAAAAAAAAA RSSI: -108 Time: 196288 
RX: 7547AAAAAAAAAA RSSI: -106 Time: 196791 
RX: 7548AAAAAAAAAA RSSI: -106 Time: 197294 
RX: 7549AAAAAAAAAA RSSI: -106 Time: 197797 
RX: 7550AAAAAAAAAA RSSI: -107 Time: 198303 
RX: 7551AAAAAAAAAA RSSI: -108 Time: 198806 
RX: 7552AAAAAAAAAA RSSI: -108 Time: 199310 
RX: 7553AAAAAAAAAA RSSI: -111 Time: 199813 
RX: 7554AAAAAAAAAA RSSI: -114 Time: 200317 
RX: 7555AAAAAAAAAA RSSI: -115 Time: 200820 
RX: 7556AAAAAAAAAA RSSI: -118 Time: 201323 
RX: 7557AAAAAAAAAA RSSI: -113 Time: 201826 
RX: 7558AAAAAAAAAA RSSI: -113 Time: 202329 
RX: 7559AAAAAAAAAA RSSI: -111 Time: 202833 
RX: 7560AAAAAAAAAA RSSI: -113 Time: 203336 
RX: 7561AAAAAAAAAA RSSI: -119 Time: 203839 
RX: 7562AAAAAAAAAA RSSI: -114 Time: 204342 
RX: 7563AAAAAAAAAA RSSI: -112 Time: 204846 
RX: 7564AAAAAAAAAA RSSI: -114 Time: 205349 
RX: 7565AAAAAAAAAA RSSI: -113 Time: 205854 
RX: 7566AAAAAAAAAA RSSI: -113 Time: 206356 
RX: 7567AAAAAAAAAA RSSI: -109 Time: 206860 
RX: 7568AAAAAAAAAA RSSI: -107 Time: 207363 
RX: 7569AAAAAAAAAA RSSI: -108 Time: 207867 
RX: 7570AAAAAAAAAA RSSI: -108 Time: 208370 
RX: 7571AAAAAAAAAA RSSI: -107 Time: 208873 
RX: 7572AAAAAAAAAA RSSI: -108 Time: 209377 
RX: 7573AAAAAAAAAA RSSI: -108 Time: 209880 
RX: 7574AAAAAAAAAA RSSI: -108 Time: 210383 
RX: 7575AAAAAAAAAA RSSI: -109 Time: 210886 
RX: 7576AAAAAAAAAA RSSI: -109 Time: 211389 
RX: 7577AAAAAAAAAA RSSI: -109 Time: 211892 
RX: 7578AAAAAAAAAA RSSI: -109 Time: 212396 
RX: 7579AAAAAAAAAA RSSI: -109 Time: 212899 
